id,name,title,description
201309000001,강석훈,[지역공약1] 미개발된 나대지에 서초의 랜드마크 조성,"□ 정책목표
▷ 종합적 기능 및 경쟁력을 갖춘 서초구 랜드마크 조성
▷ 전략적 개발 유도(복합문화시설 및 비즈니스 호텔 등)

□ 추진계획
○ 추진방법
▷ 서초동 1332번지 일원, 부지면적 35,000㎡에 최고 55층 규모의
   지역 랜드마크 조성
▷ 부지개발에 따른 공공기여를 통해, 복합문화시설 등 지역 전략적
   개발 유도

○ 기한ㆍ프로세스
▷ 사업자 사업제안서 제출 : 2012년 6월
▷ 공공기여방안 협상 : 2012년 12월
▷ 도시관리계획 변경 및 세부개발계획 : 2013년 1월
▷ 건축심의 및 건축허가 신청 : 2013년 10월
▷ 착공 : 2013년 11월 이후
",
201309000001,강석훈,[지역공약2] 아시아 최고 수준의 연구단지 조성과 이를 통한 지역 시너지 창출,"□ 정책목표
▷ 양재 R&D단지 조성

□ 추진계획
○ 추진방법
▷ 우면동(양재1동) 167-2번지 일원, 전체면적 59,000㎡에 아시아 최고
   수준의 연구단지 조성
▷ 석ㆍ박사급 인재 1만명이 근무예정인 연구단지와 지역 내 첨단기업
   및 학교 교육과의 연계를 통한 시너지 창출

○ 기한ㆍ프로세스
▷ 국토부 지구단위계획 변경 : 2011년 8월
▷ 연구시설용지 공급(SH공사) 및 용지 매수(삼성전자) : 2011년 10월
▷ 건축승인 및 착공(서울시) : 2012년 상반기(예정)
▷ 완공 : 2014년(예정)

□ 예산추계 및 재원조달 방안
▷ 용지 매입 : 2010억원(삼성전자 부담)
▷ 센터조성 사업비 : 1조원 예상
▷ 민간사업으로 사업비는 업체부담
▷ 공공부문에서는 지나친 행정 규제 완화 등 조치 강구
",
201309000001,강석훈,[지역공약3] 노후 지역을 정비하여 주민의 정주여건 개선,"□ 정책목표
▷ 노후된 단독주택 밀집지역을 조기에 성공적으로 재건축ㆍ재개발
   하여 깨끗하고 안전한 주거환경을 제공

□ 추진계획
○ 추진방법
▷ 방배동 946번지 일원(방배 5구역), 방배동 541번지 일원(서초 13구역)
   등 현재 추진되고 있는 지역 내 재건축ㆍ재개발 사업의 성공적으로
   조기 추진

○ 기한ㆍ프로세스
- 방배 5구역
▷ 정비구역 지정고시 : 2010년 9월
▷ 조합설립총회 : 2012년 4월
▷ 사업시행인가 : 2013년(예정)
▷ 완공 : 2017년(예정)
- 서초 13구역
▷ 정비예정구역 지정 : 2010년 11월
▷ 주민설명회 및 주민공람 : 2012년 상반기(예정)
▷ 서울시 도시계획위원회 정비구역지정고시 상정 : 2012년 하반기(예정)
▷ 2013년 이후 : 정비구역 지정고시, 조합설립, 사업시행인가, 완공을
   순차적으로 추진
- 여타 지역
▷ 순차적으로 진행하여, 성공적인 재건축ㆍ재개발이 될 수 있도록 함

",
201309000001,강석훈,[지역공약4] 지역민의 문화욕구 충족을 위한 공간 확보,"□ 정책목표
▷ 현재 구민회관의 일부를 사용하고 있는 서초문화원의 여건을 개선
▷ 문화복지복합시설로의 건립 추진

□ 추진계획
○ 추진방법
▷ 양재1동 25번지 6,930㎡ 규모의 서울시 체비지에 최고 12층의 문화
   복지복합시설 건축
▷ 주민들의 문화생활과 함께 생활여가를 위한 도서관, 체육시설 등이
   들어서는 문화복지복합시설 건립

○ 기한ㆍ프로세스
▷ 설계용역 : 2013년 상반기(예정)
▷ 착공 : 2013년 하반기(예정)
▷ 준공 : 2015년 하반기(예정)

□ 예산추계 및 재원조달 방안
▷ 총사업비 : 1,000억원
▷ 총사업비 중 국비(40여억원), 시비(90여억원)의 외부지원 방안을 강구

",
201309000002,길정우,1. 양천지식문화랜드 조성,"1) 개요
- 양천갑은 대부분의 공간을 아파트가 차지함으로써 양천구를 대표할 만한 상징물이 없고, 거주와 소비중심의 지역구성으로 인해 재정자립도가 낮음
- 목동종합운동장, 목동주차장, (구)목동테니스장, 유수지 등을 개발하여 생활체육인 등 지역주민의 이해에 맞도록 공간을 효율적으로 재배치하고 지식과 문화 등을 선도하는 양천구의 랜드마크로 복합문화커뮤니티센터, K-pop 홀, 생태숲 등을 갖춘 양천지식문화랜드 조성

2) 추진전략
- 양천지식문화랜드가 조성될 부지는 현재 양천구와 서울시 소유로, 당선 후 바로 관계 지자체와 주민 등이 참여하는 협의체(가칭‘양천지식문화랜드설립추진협의회')를 구성하여 추진일정 마련
- 공청회 개최, 예비타당성 분석에 관한 용역 발주
- 설계 및 예산수립 후 국회 예산심의에 반영

3) 기대효과
- 생활체육인의 부족한 체육공간을 확보하여 주민의 건강증진과 네트워크 확대에 기여
- 랜드마크 조성으로 양천주민의 자긍심 고취 및 재정자립도 제고
- 지식과 문화의 허브역할을 수행함으로써 지역사회발전뿐만 아니라 경제발전에 기여

4) 예산확보방법
- 양천지식문화랜드는 양천의 랜드마크 기능을 할 뿐만 아니라 우리나라 지식문화의 생산공장이 될 것이므로, 국가와 지자체에서 예산을 지원할 수 있는 충분한 명분이 있으며, 지식문화 관련 기업의 참여를 통해 민간자금도 유치 가능

",
201309000002,길정우,2. 스마트교육문화재단 설립,"1) 개요
- ‘교육특구’ 내지는 ‘교육1번지’로 칭해질 만큼 양천구는 교육의 중심지로 자리매김하고 있으나 양적 팽창에 비해 질적으로는 여전히 부족한 것이 현실임
- 질적 수준을 높이기 위한 많은 교육프로그램과 시설이 필요하지만 재정지원이 담보되지 않으면 공염불에 불과함
- 스마트교육문화재단은 지역사회와 기업이 공생발전하는 모델로 기업을 통해 안정적 재단전입금을 확보함으로써 교육특구로서의 양천을 완성하는데 기여할 목적으로 설립

2) 추진전략
- 스마트교육문화재단은 2012년 말 가칭 ‘스마트교육문화재단설립준비위원회’를 출범시켜 추진일정을 마련하고 재산출연 기업 섭외
- 2013년 재단설립 창립총회를 거쳐 주무 관청에 설립허가 신청
- 설립등기 후 본격적인 지원 사업 시작

3) 기대효과
- 양천구를 인성 중심의 품격 있는 교육특구로 완성하는데 필요한 안정적인 재원마련
- 재단의 지원 사업으로 지역사회와 출연기업간 공생발전의 모델을 정착시키고 기업의 사회적 책임을 확대할 수 있는 단초 제공
- 질 높은 교육프로그램과 시설 구비
- 저소득층 학자금 지원을 통해 교육의 사각지대 해소
- 부족한 학교 설립을 위한 재정 지원

4) 예산확보방법
- 재단법인으로 설립되므로 기업의 출연이 관건인데, 특정기업의 과대한 출연보다는 다수 기업의 참여를 통해 개별 기업의 부담을 줄인다면 많은 호응이 있을 것으로 예상됨


",
201309000002,길정우,3. 국공립고교 설립 ,"1) 개요
- 현재 양천갑구는 학생 수에 비해 국공립학교가 부족하여 구내 거주하는 학생들이 타 지자체에 설립된 국공립고교에 통학함으로써 장거리 통학으로 인한 불편을 호소하고 있음
- 2011년 11월 양천구 고등학교 설립추진위원회가 출범했으나 국가재정상의 형평성 문제 등으로 설립이 담보상태에 있음
- 설립추진위원회를 계승하여 활성화하고 국비지원 외에 민간자금 유치를 통해 양천갑구내 국공립고교 설립을 재추진하고자 함

2) 추진전략
- 2012년 하반기에 양천구 고등학교 설립추진위원회를 재소집하여 구체적 추진계획 등 마련
- 국공립고교 설립의 경우 예산확보가 관건이므로 2013년 설립될 스마트교육문화재단과 지원예산 협의
- 재단자금이외에 부족한 재원은 국비 및 시비로 추가 확보 후 임기 내 착공

3) 기대효과
- 양천갑구내 국공립고교 설립으로 학생들의 근거리 통학 가능
- 양천주민의 오랜 숙원사업 해결로 지역 커뮤니티 강화

4) 예산확보방법
- 국공립고교 설립은 재원마련을 전제로 하는데 스마트교육문화재단 과의 협의를 거쳐 설립에 필요한 자금의 일정부분을 재단에서 마련한다면 설립추진위원회도 새로운 동력이 발생하고 국비와 시비를 유치하는데 있어서 형평성 문제도 상당부분 해소될 것으로 예상됨

",
201309000002,길정우,4. 사회적기업지원센터 설립 ,"1) 개요
- 복지비용을 국가가 전적으로 부담하면 국가의 재정적자 상황을 초래하므로 제 기관(단체)이 일정 부분을 부담하는 새로운 복지시스템을 구축할 필요가 있음
- 지속가능성과 수익성을 담보할 수 있는 사회적기업을 육성·지원하는 것이 생산적 복지와 일자리를 결합시키는 모델로 정착되어야 함
- 기업의 사회적 책임의 일환으로 기부문화를 활성화하면서 이를 토대로 복지와 일자리를 연동시킬 수 있는 사회적기업의 성공적 모델을 발굴하고 안정적 지원을 위한 사회적기업지원센터의 설립이 필요

2) 추진전략
- 사회적기업지원센터는 중견기업 이상의 기업이 사회적 책임을 다 할 수 있는 공간을 만들어 줌으로써 사회적기업의 수익성과 지속가능성을 담보할 수 있도록 하는데 이를 위한 가칭 ‘양천사회적기업지원센터 설립위원회’를 2012년 말 구성
- 타 지자체에 설립된 사회적기업지원센터의 지원현황 및 추진계획, 효과 등에 관한 조사 및 연구
- 설립위원회 주최로 공청회를 개최 등을 통해 구체적 지원계획 마련
- 참여기업과 협의 후 2014년 내에 설립

3) 기대효과
- 기존의 지원센터가 정부 내지는 지자체 지원 중심으로 돼 있어 지속성을 보장할 수 없다는 단점이 있으나 본 지원센터는 기업 지원 중심으로 구축하여 지원 기업과 사회적기업의 공생발전을 도모
- 양천주민의 복지증진 및 일자리 창출에 기여

4) 예산확보방법
- 국비 등을 통해 지원센터 설립비용 자체는 최소화하고 지원프로그램 및 구체적 지원은 참여 기업의 부담으로 해결

",
201309000002,길정우,5. 장애인·노인·저소득층 맞춤형복지시스템 구축,"
1) 개요
- 적지 않은 복지 예산이 집행됨에도 불구하고 수혜자의 만족도가 떨어지는 것은 복지전달체계상의 문제점과 수요자의 요구(니즈)를 반영하지 않은 정책집행에 기인함
- 장애인·노인·저소득층에 대한 맞춤형복지시스템 구축을 통하여 예산집행상 나타나는 문제점을 개선
- 직접지원(현금 또는 바우처, 간병인서비스 및 간호사가정방문서비스), 시설지원(작은 노인복지관, 재활지원센터 등), 이동성지원(무료셔틀버스), 프로그램 지원 등으로 세분하여 수요자맞춤형으로 설계

2) 추진전략
- 현재 거주하는 장애인·노인·저소득층 등에 대한 개별 조사를 통해 복지수요에 대한 데이터베이스 작성
- 데이터베이스를 자료로 복지수요자에 대한 맞춤형카드 발급
- 만족도 조사 및 카드사용 분석에 따른 개선안 마련

3) 기대효과
- 체감도 높은 복지시스템으로 인해 수혜주민의 만족도 제고
- 복지전달체계 개선으로 효율적 예산집행 및 예산의 누수방지
- 시혜적 복지를 개선하여 생산적 복지로 전환할 수 있는 토대마련

4) 예산확보방법
- 복지시설, 재활지원센터 등 추가적으로 필요한 예산은 국비 및 지자체로부터 최대한 지원을 받아야 하나 시스템을 구축하는 비용은 기존 복지전달체계를 개선하는 과정에서 해결할 수 있음

",
201309000003,김성태,"공약1. 중단 없는 마곡 개발, 반드시 완수하겠습니다.","강서 주민의 기대와 희망 속에 2009년 10월 역사적인 첫 삽을 뜬 마곡지구 개발이 최근 정치적인 이유로 난관에 봉착해 있습니다.
서울의 새로운 랜드마크가 될 것으로 기대를 모았던 워터프런트 계획이 2010년 지방선거 이후 강서구청장의 반대로 물거품이 되었고, 2012년에는 대기업이 투자하려고 했던 그룹 차원의 대규모 첨단산업연구단지 조성 계획 역시 서울시의 원칙 없는 행정으로 인해 무산될 위기에 처하게 되었습니다. 그러나, 마곡지구는 3조 5천억 원이라는 천문학적인 비용을 들여 토지보상이 완료된 상태로서 그 이자비용만 하루 4억 5천만원에 달하고 있습니다. 소모적이고 비생산적인 논쟁에서 벗어나 하루빨리 사업 진행에 박차를 가해야 할 상황입니다.
마곡지구가 강서 지역 발전을 위한 새로운 희망과 기회의 땅임은 우리 모두가 주지하고 있는 사실입니다. 마곡지구 개발을 주도하고 대기업 투자 유치를 현실화하여 사업 전체를 현재의 궤도에 올려놓은 주역으로서 위기에 놓인 마곡지구 개발을 책임지고 반드시 성공시키겠습니다.
",
